,ID,date,dept,annee_const,hauteur,etages,mat_murs,mat_toits,nb_angles,surface_bati_dur,surface_bati_leger,surface_parcelle,nb_bati_dur,nb_bati_leger,NbPieces
10202,2305131,07/08/2015,83,1680,9.9,1,10,10,5,56.1,0,195.5663087,1,0,5p
4156,972727,27/12/2018,33,1976,3.3,2,2,1,11,121.3,0,622.8101295,2,0,5p
14490,3346810,05/06/2019,94,1955,8.1,3,45,10,8,214,27.9,1792.384496,2,1,5p
11512,1490042,12/10/2019,41,1850,4,2,10,20,5,259.5,51.5,3319.449755,1,1,5p
2441,994397,16/07/2018,33,2010,3.1,1,40,10,7,70.7,33.7,689.5034262,1,1,5p
12554,1760320,21/07/2020,74,1954,5.6,1,60,30,11,112.4,0,398.1301758,1,0,4p
12591,1680505,24/07/2015,62,1933,8.5,3,40,10,7,28.6,0,648.3486738,1,0,5p
12843,92547,04/05/2018,5,2013,5,2,12,12,7,115.5,0,2072.406081,1,0,6p et plus
2355,2465632,04/07/2015,90,2010,4.6,2,40,10,7,98.2,0,657.4215605,1,0,6p et plus
5708,1875362,18/05/2020,78,1982,4.4,2,50,10,6,199.7,13.8,368.2003615,2,1,5p
5605,1003822,29/01/2018,34,1990,4,1,50,10,8,125.8,0,657.2507584,1,0,4p
9675,1154262,21/07/2017,34,2008,13.2,1,0,0,6,141.1,0,706.8076037,1,0,6p et plus
8162,248703,25/06/2018,11,1988,5.4,2,40,10,10,34.3,0,34.15075905,1,0,4p
276,1710498,05/12/2020,72,1900,3,2,12,23,5,108.9,0,634.3512183,1,0,5p
1509,3195771,02/12/2019,91,2011,3.3,2,30,10,9,88.9,0,1159.153648,1,0,5p
1288,1983747,27/02/2017,59,1923,7.4,2,40,19,5,181.3,35.6,958.7230738,1,1,6p et plus
13802,968707,11/01/2016,33,1978,4.9,2,46,10,9,15.9,0,15.80181059,1,0,6p et plus
8092,2196131,20/10/2016,76,1981,7.5,1,59,40,5,110.5,14.4,629.657404,1,1,4p
11300,2053676,19/03/2019,59,1974,5.3,2,40,10,9,218.4,0,1972.629245,2,0,5p
10574,1686271,21/02/2019,46,2007,5.4,2,1,1,5,114.2,0,1025.415037,1,0,4p
2379,845696,20/09/2019,28,1950,3,1,90,10,7,115.6,0,409.9086291,1,0,3p
4609,2069673,12/11/2019,59,1977,3,1,50,10,14,139.9,16.1,667.5876544,1,1,6p et plus
11293,2814654,20/12/2019,79,2008,3.9,1,30,10,9,94,0,499.8045066,1,0,6p et plus
13707,754223,16/10/2020,34,1998,4.2,1,50,10,7,107.7,0,109.7282518,1,0,4p
14558,1159280,15/10/2015,42,1983,5.4,2,20,10,11,71.4,0,113.5750133,1,0,4p
3323,1752738,25/06/2019,49,1999,3,2,30,20,14,164.5,0,503.5688315,1,0,3p
14095,621795,19/10/2017,22,1956,6.3,2,15,20,5,97.2,0,113.0899423,1,0,5p
7582,2333101,07/11/2016,79,1953,6.3,2,25,10,17,175.8,10.9,3247.210921,1,1,6p et plus
1658,879223,03/07/2015,33,1985,5.2,1,40,10,11,157.9,0,2461.167623,2,0,4p
275,3051377,01/03/2017,91,1972,3,1,45,90,14,50.5,0,551.5919172,1,0,6p et plus
3010,2480240,24/04/2019,72,1880,4,1,16,20,11,105.2,0,1052.231921,1,0,3p
12479,2308925,16/10/2020,94,1915,7.9,2,20,10,7,249.6,0,1924.013255,1,0,5p
1580,325560,25/11/2020,17,1986,5.4,2,50,10,18,177.7,0,1471.327463,1,0,6p et plus
2714,2245535,17/07/2018,76,1900,3.2,2,40,20,13,145.3,0,761.242012,1,0,6p et plus
14643,2742532,07/01/2016,93,1966,3.7,1,53,90,5,195,0,347.1666307,2,0,5p
4556,1799566,15/01/2016,62,1925,6.3,2,40,10,9,81.7,0,274.1433164,1,0,3p
8815,354538,06/03/2015,16,1963,3.4,1,40,10,9,52.2,0,52.92313033,1,0,3p
5996,1675734,08/11/2019,45,2003,4.8,2,9,9,5,110.7,0,1094.725908,1,0,4p
9703,484834,30/07/2015,22,1998,5.5,1,35,2,11,105,0,730.4912381,1,0,5p
9393,642004,21/06/2019,22,1924,6.6,2,50,20,9,256.9,13.3,851.0637584,2,1,3p
5920,813763,11/02/2015,33,1964,6,2,40,10,5,1173.9,0,1568.143838,1,0,4p
2853,129672,12/01/2016,6,1850,8.6,2,50,10,15,101.4,0,1061.77555,1,0,6p et plus
8940,1113071,16/10/2020,45,1984,5.3,1,30,10,7,109.2,0,109.7586096,1,0,6p et plus
1769,2932124,02/06/2017,87,1968,3.9,1,10,10,5,75.9,0,425.4300408,1,0,3p
3935,2702144,25/02/2019,77,1927,4.9,2,59,10,5,144.2,6.6,420.121833,1,1,5p
